,datetime,symbol,open,high,low,close,volume
72,2023-10-05 14:55:00,OANDA:EURCAD,1.44718,1.44757,1.447075,1.44746,482.0
73,2023-10-05 14:50:00,OANDA:EURCAD,1.44733,1.447465,1.44706,1.44718,419.0
74,2023-10-05 14:45:00,OANDA:EURCAD,1.44806,1.44806,1.44724,1.44733,471.0
75,2023-10-05 14:40:00,OANDA:EURCAD,1.44822,1.4484,1.44782,1.44806,349.0
76,2023-10-05 14:35:00,OANDA:EURCAD,1.44818,1.448465,1.44795,1.44822,513.0
77,2023-10-05 14:30:00,OANDA:EURCAD,1.44786,1.448225,1.44786,1.44818,209.0
78,2023-10-05 14:25:00,OANDA:EURCAD,1.44792,1.44802,1.44767,1.44786,274.0
79,2023-10-05 14:20:00,OANDA:EURCAD,1.44821,1.44821,1.44776,1.44792,309.0
80,2023-10-05 14:15:00,OANDA:EURCAD,1.44804,1.4484,1.447975,1.44821,484.0
81,2023-10-05 14:10:00,OANDA:EURCAD,1.4481,1.44832,1.44802,1.44804,393.0
82,2023-10-05 14:05:00,OANDA:EURCAD,1.44774,1.448105,1.44774,1.4481,429.0
83,2023-10-05 14:00:00,OANDA:EURCAD,1.44805,1.44822,1.44763,1.44774,332.0
84,2023-10-05 13:55:00,OANDA:EURCAD,1.44848,1.44852,1.4479,1.44805,402.0
85,2023-10-05 13:50:00,OANDA:EURCAD,1.44827,1.4488,1.4481,1.44848,379.0
86,2023-10-05 13:45:00,OANDA:EURCAD,1.44769,1.44836,1.447475,1.44827,280.0
87,2023-10-05 13:40:00,OANDA:EURCAD,1.44767,1.4479,1.44756,1.44769,218.0
88,2023-10-05 13:35:00,OANDA:EURCAD,1.44788,1.44801,1.44738,1.44767,715.0
89,2023-10-05 13:30:00,OANDA:EURCAD,1.44798,1.44824,1.44783,1.44788,550.0
90,2023-10-05 13:25:00,OANDA:EURCAD,1.44686,1.44804,1.44682,1.44798,418.0
91,2023-10-05 13:20:00,OANDA:EURCAD,1.44698,1.447005,1.44662,1.44686,641.0
92,2023-10-05 13:15:00,OANDA:EURCAD,1.4477,1.447745,1.44684,1.44698,532.0
93,2023-10-05 13:10:00,OANDA:EURCAD,1.44796,1.44803,1.44757,1.4477,254.0
94,2023-10-05 13:05:00,OANDA:EURCAD,1.44754,1.447965,1.447455,1.44796,422.0
95,2023-10-05 13:00:00,OANDA:EURCAD,1.44754,1.44757,1.44736,1.44754,315.0
96,2023-10-05 12:55:00,OANDA:EURCAD,1.44754,1.44766,1.44731,1.44754,206.0
97,2023-10-05 12:50:00,OANDA:EURCAD,1.44784,1.44797,1.44744,1.44754,388.0
98,2023-10-05 12:45:00,OANDA:EURCAD,1.44833,1.44838,1.447815,1.44784,556.0
99,2023-10-05 12:40:00,OANDA:EURCAD,1.44771,1.44846,1.44762,1.44833,669.0
100,2023-10-05 12:35:00,OANDA:EURCAD,1.44768,1.44806,1.44764,1.44771,328.0
101,2023-10-05 12:30:00,OANDA:EURCAD,1.44822,1.448285,1.44758,1.44768,241.0
102,2023-10-05 12:25:00,OANDA:EURCAD,1.44856,1.4487,1.44803,1.44822,228.0
103,2023-10-05 12:20:00,OANDA:EURCAD,1.44887,1.44892,1.4485,1.44856,549.0
104,2023-10-05 12:15:00,OANDA:EURCAD,1.4486,1.449,1.4485,1.44887,329.0
105,2023-10-05 12:10:00,OANDA:EURCAD,1.44812,1.44867,1.448035,1.4486,402.0
106,2023-10-05 12:05:00,OANDA:EURCAD,1.44776,1.44825,1.44775,1.44812,292.0
107,2023-10-05 12:00:00,OANDA:EURCAD,1.44784,1.44788,1.44737,1.44776,424.0
108,2023-10-05 11:55:00,OANDA:EURCAD,1.44696,1.44785,1.44696,1.44784,682.0
109,2023-10-05 11:50:00,OANDA:EURCAD,1.44754,1.447685,1.446955,1.44696,701.0
110,2023-10-05 11:45:00,OANDA:EURCAD,1.4471,1.44761,1.44703,1.44754,496.0
111,2023-10-05 11:40:00,OANDA:EURCAD,1.4468,1.44724,1.4467,1.4471,661.0
112,2023-10-05 11:35:00,OANDA:EURCAD,1.44645,1.44682,1.44634,1.4468,461.0
113,2023-10-05 11:30:00,OANDA:EURCAD,1.44599,1.44645,1.44582,1.44645,425.0
114,2023-10-05 11:25:00,OANDA:EURCAD,1.44623,1.44644,1.44583,1.44599,342.0
115,2023-10-05 11:20:00,OANDA:EURCAD,1.44596,1.44626,1.44573,1.44623,367.0
116,2023-10-05 11:15:00,OANDA:EURCAD,1.4456,1.44618,1.445495,1.44596,668.0
117,2023-10-05 11:10:00,OANDA:EURCAD,1.44558,1.44574,1.44524,1.4456,381.0
118,2023-10-05 11:05:00,OANDA:EURCAD,1.4455,1.44645,1.445415,1.44558,467.0
119,2023-10-05 11:00:00,OANDA:EURCAD,1.44569,1.44589,1.44524,1.4455,489.0
120,2023-10-05 10:55:00,OANDA:EURCAD,1.44594,1.4461,1.44564,1.44569,447.0
121,2023-10-05 10:50:00,OANDA:EURCAD,1.44574,1.44597,1.4455,1.44594,478.0
122,2023-10-05 10:45:00,OANDA:EURCAD,1.4461,1.44625,1.44552,1.44574,626.0
123,2023-10-05 10:40:00,OANDA:EURCAD,1.44598,1.4465,1.44592,1.4461,864.0
124,2023-10-05 10:35:00,OANDA:EURCAD,1.44525,1.446005,1.44525,1.44598,1042.0
125,2023-10-05 10:30:00,OANDA:EURCAD,1.44494,1.44528,1.44488,1.44525,935.0
