,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
4716,2023-10-24 05:03:00,OANDA:GBPAUD,1.93234,1.93245,1.93218,1.93218,194.0,Interval.in_1_minute,57128580.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4717,2023-10-24 05:02:00,OANDA:GBPAUD,1.93243,1.93258,1.93234,1.93234,150.0,Interval.in_1_minute,57128520.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4718,2023-10-24 05:01:00,OANDA:GBPAUD,1.9324,1.9325,1.93229,1.93243,145.0,Interval.in_1_minute,57128460.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4719,2023-10-24 05:00:00,OANDA:GBPAUD,1.93198,1.93242,1.93196,1.9324,226.0,Interval.in_1_minute,57128400.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4720,2023-10-24 04:59:00,OANDA:GBPAUD,1.932,1.93213,1.9319,1.93198,94.0,Interval.in_1_minute,57128340.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4721,2023-10-24 04:58:00,OANDA:GBPAUD,1.9318,1.9321,1.9318,1.932,139.0,Interval.in_1_minute,57128280.0,short,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4722,2023-10-24 04:57:00,OANDA:GBPAUD,1.93165,1.93186,1.93154,1.9318,167.0,Interval.in_1_minute,57128220.0,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4723,2023-10-24 04:56:00,OANDA:GBPAUD,1.9317,1.93188,1.93162,1.93165,133.0,Interval.in_1_minute,57128160.0,long,long,long,long,long,long,long,long,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4724,2023-10-24 04:55:00,OANDA:GBPAUD,1.9319,1.93191,1.93161,1.9317,165.0,Interval.in_1_minute,57128100.0,short,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4725,2023-10-24 04:54:00,OANDA:GBPAUD,1.9316,1.93205,1.93144,1.9319,156.0,Interval.in_1_minute,57128040.0,short,short,short,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4726,2023-10-24 04:53:00,OANDA:GBPAUD,1.93173,1.93198,1.93152,1.9316,188.0,Interval.in_1_minute,57127980.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
4727,2023-10-24 04:52:00,OANDA:GBPAUD,1.9318,1.93188,1.93158,1.93173,138.0,Interval.in_1_minute,57127920.0,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4728,2023-10-24 04:51:00,OANDA:GBPAUD,1.93178,1.93193,1.93166,1.9318,124.0,Interval.in_1_minute,57127860.0,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
4729,2023-10-24 04:50:00,OANDA:GBPAUD,1.9316,1.93186,1.93158,1.93178,71.0,Interval.in_1_minute,57127800.0,long,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
4730,2023-10-24 04:49:00,OANDA:GBPAUD,1.93148,1.93165,1.93144,1.9316,69.0,Interval.in_1_minute,57127740.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
4731,2023-10-24 04:48:00,OANDA:GBPAUD,1.9317,1.93189,1.93148,1.93148,93.0,Interval.in_1_minute,57127680.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short
4732,2023-10-24 04:47:00,OANDA:GBPAUD,1.93136,1.93174,1.93136,1.9317,115.0,Interval.in_1_minute,57127620.0,short,short,long,long,long,short,long,long,short,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
4733,2023-10-24 04:46:00,OANDA:GBPAUD,1.93163,1.93168,1.93132,1.93136,141.0,Interval.in_1_minute,57127560.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short
4734,2023-10-24 04:45:00,OANDA:GBPAUD,1.93146,1.93175,1.93146,1.93163,98.0,Interval.in_1_minute,57127500.0,short,long,short,short,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short
4735,2023-10-24 04:44:00,OANDA:GBPAUD,1.9314,1.93148,1.9313,1.93146,200.0,Interval.in_1_minute,57127440.0,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short
4736,2023-10-24 04:43:00,OANDA:GBPAUD,1.93148,1.93158,1.9313,1.9314,263.0,Interval.in_1_minute,57127380.0,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short
4737,2023-10-24 04:42:00,OANDA:GBPAUD,1.93157,1.93184,1.93142,1.93148,245.0,Interval.in_1_minute,57127320.0,short,short,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short
4738,2023-10-24 04:41:00,OANDA:GBPAUD,1.93187,1.932,1.93146,1.93157,278.0,Interval.in_1_minute,57127260.0,short,short,short,long,short,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short
4739,2023-10-24 04:40:00,OANDA:GBPAUD,1.93197,1.93204,1.93178,1.93187,372.0,Interval.in_1_minute,57127200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,short,short,short
4740,2023-10-24 04:39:00,OANDA:GBPAUD,1.93203,1.93219,1.93182,1.93197,331.0,Interval.in_1_minute,57127140.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,short,short,short
4741,2023-10-24 04:38:00,OANDA:GBPAUD,1.93226,1.93232,1.93201,1.93203,276.0,Interval.in_1_minute,57127080.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,short,short
4742,2023-10-24 04:37:00,OANDA:GBPAUD,1.9318,1.93236,1.9318,1.93226,356.0,Interval.in_1_minute,57127020.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,short,short,short,short,short
4743,2023-10-24 04:36:00,OANDA:GBPAUD,1.93184,1.93192,1.93178,1.9318,204.0,Interval.in_1_minute,57126960.0,long,long,long,long,short,short,short,short,short,short,short,short,short,short,long,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long
4744,2023-10-24 04:35:00,OANDA:GBPAUD,1.93196,1.93226,1.93184,1.93184,267.0,Interval.in_1_minute,57126900.0,short,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,long,long,long,long,long,long,long,long
4745,2023-10-24 04:34:00,OANDA:GBPAUD,1.93238,1.93242,1.93182,1.93196,298.0,Interval.in_1_minute,57126840.0,short,short,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long
4746,2023-10-24 04:33:00,OANDA:GBPAUD,1.93202,1.9324,1.93195,1.93238,231.0,Interval.in_1_minute,57126780.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,short,short
4747,2023-10-24 04:32:00,OANDA:GBPAUD,1.93174,1.93207,1.93154,1.93202,259.0,Interval.in_1_minute,57126720.0,long,short,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long
4748,2023-10-24 04:31:00,OANDA:GBPAUD,1.93162,1.93189,1.93156,1.93174,295.0,Interval.in_1_minute,57126660.0,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,long,long,short,short,long,short,short,long,long,long,long,long
4749,2023-10-24 04:30:00,OANDA:GBPAUD,1.93137,1.93162,1.93113,1.93162,273.0,Interval.in_1_minute,57126600.0,long,long,long,long,long,long,long,long,long,long,short,short,short,short,long,short,long,short,short,long,long,long,short,long,long,long,long,long,long,long
4750,2023-10-24 04:29:00,OANDA:GBPAUD,1.93145,1.93158,1.93131,1.93137,135.0,Interval.in_1_minute,57126540.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long
4751,2023-10-24 04:28:00,OANDA:GBPAUD,1.93147,1.93148,1.93134,1.93145,89.0,Interval.in_1_minute,57126480.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long
4752,2023-10-24 04:27:00,OANDA:GBPAUD,1.93126,1.93147,1.93123,1.93147,159.0,Interval.in_1_minute,57126420.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,long,long,long,long,long,long,long,long,long,long,long
4753,2023-10-24 04:26:00,OANDA:GBPAUD,1.93146,1.93146,1.93113,1.93126,148.0,Interval.in_1_minute,57126360.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
4754,2023-10-24 04:25:00,OANDA:GBPAUD,1.93164,1.93164,1.93132,1.93146,127.0,Interval.in_1_minute,57126300.0,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,short,long,long,long,long,long,long,long,long,long
4755,2023-10-24 04:24:00,OANDA:GBPAUD,1.9311,1.9317,1.93102,1.93164,186.0,Interval.in_1_minute,57126240.0,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,long,short,short,long,long,long,short,long
4756,2023-10-24 04:23:00,OANDA:GBPAUD,1.93092,1.9313,1.9309,1.9311,284.0,Interval.in_1_minute,57126180.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
