,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
4463,4463,2023-08-24 00:00:00,OANDA:AUDCAD,0.87652,0.87652,0.87598,0.87618,24.0,Interval.in_15_minute,51840000.0,long,short
4464,4464,2023-08-23 23:45:00,OANDA:AUDCAD,0.87632,0.8767,0.87632,0.87652,220.0,Interval.in_15_minute,51839100.0,long,short
4465,4465,2023-08-23 23:30:00,OANDA:AUDCAD,0.87638,0.8764,0.87599,0.87632,291.0,Interval.in_15_minute,51838200.0,long,short
4466,4466,2023-08-23 23:15:00,OANDA:AUDCAD,0.87607,0.87653,0.876,0.87638,608.0,Interval.in_15_minute,51837300.0,long,short
4467,4467,2023-08-23 23:00:00,OANDA:AUDCAD,0.87604,0.87619,0.87586,0.87607,238.0,Interval.in_15_minute,51836400.0,long,short
4468,4468,2023-08-23 22:45:00,OANDA:AUDCAD,0.87576,0.87612,0.87566,0.87604,697.0,Interval.in_15_minute,51835500.0,long,short
4469,4469,2023-08-23 22:30:00,OANDA:AUDCAD,0.87604,0.87604,0.87571,0.87576,1148.0,Interval.in_15_minute,51834600.0,long,short
4470,4470,2023-08-23 22:15:00,OANDA:AUDCAD,0.8759,0.87608,0.87582,0.87604,681.0,Interval.in_15_minute,51833700.0,long,short
4471,4471,2023-08-23 22:00:00,OANDA:AUDCAD,0.8762,0.8762,0.87586,0.8759,529.0,Interval.in_15_minute,51832800.0,long,short
4472,4472,2023-08-23 21:45:00,OANDA:AUDCAD,0.87586,0.87621,0.87577,0.8762,527.0,Interval.in_15_minute,51831900.0,long,short
4473,4473,2023-08-23 21:30:00,OANDA:AUDCAD,0.87588,0.87601,0.87576,0.87586,642.0,Interval.in_15_minute,51831000.0,long,short
4474,4474,2023-08-23 21:15:00,OANDA:AUDCAD,0.87585,0.87606,0.87566,0.87588,460.0,Interval.in_15_minute,51830100.0,long,short
4475,4475,2023-08-23 21:00:00,OANDA:AUDCAD,0.87594,0.87604,0.8758,0.87585,279.0,Interval.in_15_minute,51829200.0,long,short
4476,4476,2023-08-23 20:45:00,OANDA:AUDCAD,0.87596,0.8761,0.87576,0.87594,424.0,Interval.in_15_minute,51828300.0,long,short
4477,4477,2023-08-23 20:30:00,OANDA:AUDCAD,0.87588,0.87604,0.87574,0.87596,392.0,Interval.in_15_minute,51827400.0,long,short
4478,4478,2023-08-23 20:15:00,OANDA:AUDCAD,0.87566,0.87616,0.87566,0.87588,508.0,Interval.in_15_minute,51826500.0,long,short
4479,4479,2023-08-23 20:00:00,OANDA:AUDCAD,0.87556,0.87575,0.87548,0.87566,438.0,Interval.in_15_minute,51825600.0,long,short
4480,4480,2023-08-23 19:45:00,OANDA:AUDCAD,0.87544,0.87564,0.87533,0.87556,404.0,Interval.in_15_minute,51824700.0,long,short
4481,4481,2023-08-23 19:30:00,OANDA:AUDCAD,0.87538,0.87552,0.87518,0.87544,374.0,Interval.in_15_minute,51823800.0,long,short
4482,4482,2023-08-23 19:15:00,OANDA:AUDCAD,0.87586,0.87598,0.8753,0.87538,485.0,Interval.in_15_minute,51822900.0,long,short
4483,4483,2023-08-23 19:00:00,OANDA:AUDCAD,0.87592,0.87598,0.87568,0.87586,603.0,Interval.in_15_minute,51822000.0,long,short
4484,4484,2023-08-23 18:45:00,OANDA:AUDCAD,0.87606,0.87622,0.87586,0.87592,673.0,Interval.in_15_minute,51821100.0,long,short
4485,4485,2023-08-23 18:30:00,OANDA:AUDCAD,0.87613,0.8765,0.87592,0.87606,770.0,Interval.in_15_minute,51820200.0,long,short
4486,4486,2023-08-23 18:15:00,OANDA:AUDCAD,0.87647,0.87678,0.87607,0.87613,754.0,Interval.in_15_minute,51819300.0,long,short
4487,4487,2023-08-23 18:00:00,OANDA:AUDCAD,0.87623,0.87652,0.87599,0.87647,1071.0,Interval.in_15_minute,51818400.0,long,short
4488,4488,2023-08-23 17:45:00,OANDA:AUDCAD,0.87624,0.87656,0.8759,0.87623,886.0,Interval.in_15_minute,51817500.0,long,short
4489,4489,2023-08-23 17:30:00,OANDA:AUDCAD,0.87684,0.87688,0.8759,0.87624,1417.0,Interval.in_15_minute,51816600.0,long,short
4490,4490,2023-08-23 17:15:00,OANDA:AUDCAD,0.87672,0.87726,0.87658,0.87684,1952.0,Interval.in_15_minute,51815700.0,long,short
4491,4491,2023-08-23 17:00:00,OANDA:AUDCAD,0.87592,0.87688,0.8754,0.87672,2241.0,Interval.in_15_minute,51814800.0,long,short
