,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
3527,2023-10-11 04:10:00,OANDA:AUDCHF,0.58202,0.58228,0.58196,0.58217,263.0,Interval.in_5_minute,56002200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3528,2023-10-11 04:05:00,OANDA:AUDCHF,0.58248,0.5825,0.58197,0.58202,159.0,Interval.in_5_minute,56001900.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3529,2023-10-11 04:00:00,OANDA:AUDCHF,0.58219,0.58248,0.58218,0.58248,176.0,Interval.in_5_minute,56001600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3530,2023-10-11 03:55:00,OANDA:AUDCHF,0.5824,0.58242,0.58218,0.58219,131.0,Interval.in_5_minute,56001300.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3531,2023-10-11 03:50:00,OANDA:AUDCHF,0.58242,0.58248,0.58228,0.5824,193.0,Interval.in_5_minute,56001000.0,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3532,2023-10-11 03:45:00,OANDA:AUDCHF,0.58248,0.58256,0.58242,0.58242,162.0,Interval.in_5_minute,56000700.0,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3533,2023-10-11 03:40:00,OANDA:AUDCHF,0.58224,0.5826,0.58224,0.58248,306.0,Interval.in_5_minute,56000400.0,short,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3534,2023-10-11 03:35:00,OANDA:AUDCHF,0.58234,0.58238,0.58218,0.58224,215.0,Interval.in_5_minute,56000100.0,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3535,2023-10-11 03:30:00,OANDA:AUDCHF,0.58224,0.5824,0.58223,0.58234,198.0,Interval.in_5_minute,55999800.0,short,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3536,2023-10-11 03:25:00,OANDA:AUDCHF,0.5822,0.5823,0.5822,0.58224,127.0,Interval.in_5_minute,55999500.0,long,long,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3537,2023-10-11 03:20:00,OANDA:AUDCHF,0.58234,0.58242,0.58218,0.5822,140.0,Interval.in_5_minute,55999200.0,long,long,long,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3538,2023-10-11 03:15:00,OANDA:AUDCHF,0.58232,0.58238,0.58221,0.58234,146.0,Interval.in_5_minute,55998900.0,short,short,long,short,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3539,2023-10-11 03:10:00,OANDA:AUDCHF,0.58224,0.58236,0.58212,0.58232,152.0,Interval.in_5_minute,55998600.0,long,short,short,long,short,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3540,2023-10-11 03:05:00,OANDA:AUDCHF,0.58218,0.58238,0.58209,0.58224,111.0,Interval.in_5_minute,55998300.0,long,long,short,long,long,long,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3541,2023-10-11 03:00:00,OANDA:AUDCHF,0.58186,0.58238,0.58181,0.58218,173.0,Interval.in_5_minute,55998000.0,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3542,2023-10-11 02:55:00,OANDA:AUDCHF,0.58186,0.58192,0.58178,0.58186,65.0,Interval.in_5_minute,55997700.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,long,short,short,short,short,short,short,short,short,short
3543,2023-10-11 02:50:00,OANDA:AUDCHF,0.5818,0.58192,0.5818,0.58186,37.0,Interval.in_5_minute,55997400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,long,short,short,short,short,short,short,short,short
3544,2023-10-11 02:45:00,OANDA:AUDCHF,0.58192,0.58196,0.5818,0.5818,42.0,Interval.in_5_minute,55997100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,long,long,short,short,short,short,short,short
3545,2023-10-11 02:40:00,OANDA:AUDCHF,0.58186,0.58192,0.5818,0.58192,27.0,Interval.in_5_minute,55996800.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,short,short,short,short,short,short,short
3546,2023-10-11 02:35:00,OANDA:AUDCHF,0.58198,0.58204,0.58186,0.58186,25.0,Interval.in_5_minute,55996500.0,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,long,short,short,short,short,short
3547,2023-10-11 02:30:00,OANDA:AUDCHF,0.58195,0.58208,0.58194,0.58198,35.0,Interval.in_5_minute,55996200.0,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
3548,2023-10-11 02:25:00,OANDA:AUDCHF,0.58196,0.582,0.58192,0.58195,31.0,Interval.in_5_minute,55995900.0,long,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
