,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
36,2023-10-27 10:18:00,OANDA:AUDJPY,95.139,95.142,95.113,95.129,357.0,Interval.in_3_minute,57406680.0,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
37,2023-10-27 10:15:00,OANDA:AUDJPY,95.128,95.1505,95.112,95.139,384.0,Interval.in_3_minute,57406500.0,short,long,long,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
38,2023-10-27 10:12:00,OANDA:AUDJPY,95.126,95.144,95.12,95.128,348.0,Interval.in_3_minute,57406320.0,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
39,2023-10-27 10:09:00,OANDA:AUDJPY,95.15,95.159,95.1255,95.126,312.0,Interval.in_3_minute,57406140.0,long,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
40,2023-10-27 10:06:00,OANDA:AUDJPY,95.098,95.157,95.092,95.15,309.0,Interval.in_3_minute,57405960.0,short,short,short,short,short,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
41,2023-10-27 10:03:00,OANDA:AUDJPY,95.15,95.152,95.094,95.098,460.0,Interval.in_3_minute,57405780.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
42,2023-10-27 10:00:00,OANDA:AUDJPY,95.156,95.157,95.1215,95.15,452.0,Interval.in_3_minute,57405600.0,short,long,short,short,short,short,short,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
43,2023-10-27 09:57:00,OANDA:AUDJPY,95.193,95.194,95.156,95.156,370.0,Interval.in_3_minute,57405420.0,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
44,2023-10-27 09:54:00,OANDA:AUDJPY,95.22,95.226,95.193,95.193,233.0,Interval.in_3_minute,57405240.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long
45,2023-10-27 09:51:00,OANDA:AUDJPY,95.218,95.248,95.212,95.22,312.0,Interval.in_3_minute,57405060.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long
46,2023-10-27 09:48:00,OANDA:AUDJPY,95.232,95.2325,95.189,95.218,386.0,Interval.in_3_minute,57404880.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long
47,2023-10-27 09:45:00,OANDA:AUDJPY,95.239,95.242,95.204,95.232,290.0,Interval.in_3_minute,57404700.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long
48,2023-10-27 09:42:00,OANDA:AUDJPY,95.259,95.2805,95.237,95.239,265.0,Interval.in_3_minute,57404520.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,long,long,long,long,long,long,long
49,2023-10-27 09:39:00,OANDA:AUDJPY,95.262,95.264,95.222,95.259,210.0,Interval.in_3_minute,57404340.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,short
50,2023-10-27 09:36:00,OANDA:AUDJPY,95.264,95.293,95.252,95.262,164.0,Interval.in_3_minute,57404160.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long
51,2023-10-27 09:33:00,OANDA:AUDJPY,95.26,95.271,95.2515,95.264,226.0,Interval.in_3_minute,57403980.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long
52,2023-10-27 09:30:00,OANDA:AUDJPY,95.274,95.279,95.2535,95.26,211.0,Interval.in_3_minute,57403800.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long
53,2023-10-27 09:27:00,OANDA:AUDJPY,95.256,95.278,95.246,95.274,238.0,Interval.in_3_minute,57403620.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
54,2023-10-27 09:24:00,OANDA:AUDJPY,95.271,95.283,95.255,95.256,239.0,Interval.in_3_minute,57403440.0,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
55,2023-10-27 09:21:00,OANDA:AUDJPY,95.254,95.278,95.25,95.271,275.0,Interval.in_3_minute,57403260.0,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
56,2023-10-27 09:18:00,OANDA:AUDJPY,95.258,95.29,95.244,95.254,248.0,Interval.in_3_minute,57403080.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
57,2023-10-27 09:15:00,OANDA:AUDJPY,95.268,95.272,95.25,95.258,270.0,Interval.in_3_minute,57402900.0,short,long,short,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
58,2023-10-27 09:12:00,OANDA:AUDJPY,95.274,95.286,95.259,95.268,309.0,Interval.in_3_minute,57402720.0,short,short,long,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
59,2023-10-27 09:09:00,OANDA:AUDJPY,95.301,95.316,95.273,95.274,230.0,Interval.in_3_minute,57402540.0,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
60,2023-10-27 09:06:00,OANDA:AUDJPY,95.278,95.324,95.277,95.301,222.0,Interval.in_3_minute,57402360.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
61,2023-10-27 09:03:00,OANDA:AUDJPY,95.274,95.286,95.246,95.278,262.0,Interval.in_3_minute,57402180.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
62,2023-10-27 09:00:00,OANDA:AUDJPY,95.236,95.276,95.234,95.274,346.0,Interval.in_3_minute,57402000.0,long,long,long,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
63,2023-10-27 08:57:00,OANDA:AUDJPY,95.242,95.252,95.2235,95.236,188.0,Interval.in_3_minute,57401820.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
64,2023-10-27 08:54:00,OANDA:AUDJPY,95.246,95.2545,95.239,95.242,182.0,Interval.in_3_minute,57401640.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
65,2023-10-27 08:51:00,OANDA:AUDJPY,95.212,95.246,95.2055,95.246,164.0,Interval.in_3_minute,57401460.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
66,2023-10-27 08:48:00,OANDA:AUDJPY,95.198,95.221,95.196,95.212,131.0,Interval.in_3_minute,57401280.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
67,2023-10-27 08:45:00,OANDA:AUDJPY,95.218,95.2225,95.1915,95.198,152.0,Interval.in_3_minute,57401100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short
68,2023-10-27 08:42:00,OANDA:AUDJPY,95.196,95.22,95.194,95.218,166.0,Interval.in_3_minute,57400920.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short
69,2023-10-27 08:39:00,OANDA:AUDJPY,95.214,95.219,95.19,95.196,167.0,Interval.in_3_minute,57400740.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short
70,2023-10-27 08:36:00,OANDA:AUDJPY,95.205,95.218,95.196,95.214,149.0,Interval.in_3_minute,57400560.0,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short
71,2023-10-27 08:33:00,OANDA:AUDJPY,95.242,95.2465,95.204,95.205,139.0,Interval.in_3_minute,57400380.0,long,short,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short
72,2023-10-27 08:30:00,OANDA:AUDJPY,95.258,95.284,95.2415,95.242,183.0,Interval.in_3_minute,57400200.0,short,short,short,short,short,short,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short
73,2023-10-27 08:27:00,OANDA:AUDJPY,95.254,95.2605,95.24,95.258,154.0,Interval.in_3_minute,57400020.0,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,short,long,short,long,long,long,long,long,short,short,short,short,short,short
74,2023-10-27 08:24:00,OANDA:AUDJPY,95.24,95.256,95.232,95.254,140.0,Interval.in_3_minute,57399840.0,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short
75,2023-10-27 08:21:00,OANDA:AUDJPY,95.262,95.262,95.238,95.24,123.0,Interval.in_3_minute,57399660.0,long,long,long,short,short,short,short,short,short,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short
76,2023-10-27 08:18:00,OANDA:AUDJPY,95.26,95.275,95.2515,95.262,126.0,Interval.in_3_minute,57399480.0,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,short,short,long,short,long,short,long,long,short,short,short,short
77,2023-10-27 08:15:00,OANDA:AUDJPY,95.256,95.2685,95.244,95.26,168.0,Interval.in_3_minute,57399300.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,short,short,long,short,long,long,long,long,short,short,short
78,2023-10-27 08:12:00,OANDA:AUDJPY,95.253,95.2605,95.238,95.256,113.0,Interval.in_3_minute,57399120.0,long,long,short,short,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,short,long,long,long,long,long,long,long,short
79,2023-10-27 08:09:00,OANDA:AUDJPY,95.234,95.261,95.232,95.253,217.0,Interval.in_3_minute,57398940.0,long,long,long,short,long,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long
80,2023-10-27 08:06:00,OANDA:AUDJPY,95.266,95.268,95.23,95.234,181.0,Interval.in_3_minute,57398760.0,long,long,long,long,long,long,long,long,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
81,2023-10-27 08:03:00,OANDA:AUDJPY,95.274,95.298,95.2635,95.266,200.0,Interval.in_3_minute,57398580.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,short,short,long,short,long,short,short
82,2023-10-27 08:00:00,OANDA:AUDJPY,95.269,95.2885,95.24,95.274,169.0,Interval.in_3_minute,57398400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,short,short,short,short,short,long,short
83,2023-10-27 07:57:00,OANDA:AUDJPY,95.258,95.289,95.256,95.269,135.0,Interval.in_3_minute,57398220.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,short,short,short,long,short,long
84,2023-10-27 07:54:00,OANDA:AUDJPY,95.264,95.269,95.2475,95.258,103.0,Interval.in_3_minute,57398040.0,long,long,long,short,short,short,long,long,short,short,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,short,long,short
85,2023-10-27 07:51:00,OANDA:AUDJPY,95.242,95.2645,95.2375,95.264,99.0,Interval.in_3_minute,57397860.0,short,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,short,short,long
86,2023-10-27 07:48:00,OANDA:AUDJPY,95.248,95.2525,95.239,95.242,66.0,Interval.in_3_minute,57397680.0,long,long,long,long,long,short,long,long,long,long,short,long,long,long,short,short,short,short,short,short,long,long,short,long,long,long,long,long,long,long
87,2023-10-27 07:45:00,OANDA:AUDJPY,95.261,95.2645,95.2435,95.248,93.0,Interval.in_3_minute,57397500.0,short,long,long,long,long,long,short,long,long,long,long,short,long,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long
88,2023-10-27 07:42:00,OANDA:AUDJPY,95.27,95.27,95.259,95.261,70.0,Interval.in_3_minute,57397320.0,short,short,long,short,long,long,long,short,short,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long
89,2023-10-27 07:39:00,OANDA:AUDJPY,95.254,95.276,95.254,95.27,163.0,Interval.in_3_minute,57397140.0,short,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long
90,2023-10-27 07:36:00,OANDA:AUDJPY,95.232,95.256,95.2295,95.254,156.0,Interval.in_3_minute,57396960.0,long,long,short,short,long,long,long,long,long,short,short,long,long,long,short,long,long,short,short,short,short,short,short,short,short,short,short,long,long,long
91,2023-10-27 07:33:00,OANDA:AUDJPY,95.236,95.237,95.228,95.232,102.0,Interval.in_3_minute,57396780.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,long,long,long,long,long
92,2023-10-27 07:30:00,OANDA:AUDJPY,95.22,95.239,95.216,95.236,136.0,Interval.in_3_minute,57396600.0,short,long,long,long,long,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,short,short,short,short,short,short,long,long,long,long
93,2023-10-27 07:27:00,OANDA:AUDJPY,95.242,95.243,95.2195,95.22,105.0,Interval.in_3_minute,57396420.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,long,long,long
94,2023-10-27 07:24:00,OANDA:AUDJPY,95.241,95.248,95.233,95.242,111.0,Interval.in_3_minute,57396240.0,short,short,short,long,long,long,long,long,long,long,long,long,long,short,long,long,long,long,short,long,long,long,short,short,short,short,short,short,long,long
95,2023-10-27 07:21:00,OANDA:AUDJPY,95.233,95.242,95.231,95.241,84.0,Interval.in_3_minute,57396060.0,long,short,short,short,long,long,long,long,long,long,long,long,long,long,short,long,long,long,long,short,long,long,long,short,short,short,short,short,short,long
96,2023-10-27 07:18:00,OANDA:AUDJPY,95.22,95.2385,95.22,95.233,98.0,Interval.in_3_minute,57395880.0,long,long,short,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short
97,2023-10-27 07:15:00,OANDA:AUDJPY,95.22,95.227,95.216,95.22,79.0,Interval.in_3_minute,57395700.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short
98,2023-10-27 07:12:00,OANDA:AUDJPY,95.228,95.228,95.2095,95.22,100.0,Interval.in_3_minute,57395520.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short
99,2023-10-27 07:09:00,OANDA:AUDJPY,95.216,95.23,95.2155,95.228,116.0,Interval.in_3_minute,57395340.0,short,short,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short
100,2023-10-27 07:06:00,OANDA:AUDJPY,95.228,95.233,95.2115,95.216,132.0,Interval.in_3_minute,57395160.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short
101,2023-10-27 07:03:00,OANDA:AUDJPY,95.241,95.244,95.223,95.228,136.0,Interval.in_3_minute,57394980.0,short,long,short,short,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short
102,2023-10-27 07:00:00,OANDA:AUDJPY,95.218,95.241,95.2115,95.241,108.0,Interval.in_3_minute,57394800.0,short,short,short,short,short,short,long,long,short,short,short,long,long,long,long,long,long,long,long,long,long,short,long,long,long,long,short,long,long,long
103,2023-10-27 06:57:00,OANDA:AUDJPY,95.221,95.223,95.21,95.218,66.0,Interval.in_3_minute,57394620.0,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
104,2023-10-27 06:54:00,OANDA:AUDJPY,95.208,95.2245,95.206,95.221,92.0,Interval.in_3_minute,57394440.0,short,long,long,short,long,short,short,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
