,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20
2202,2023-10-17 20:35:00,OANDA:EURJPY,158.408,158.42,158.394,158.396,633.0,Interval.in_5_minute,56579700.0,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2203,2023-10-17 20:30:00,OANDA:EURJPY,158.432,158.446,158.394,158.408,541.0,Interval.in_5_minute,56579400.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2204,2023-10-17 20:25:00,OANDA:EURJPY,158.424,158.45,158.422,158.432,475.0,Interval.in_5_minute,56579100.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2205,2023-10-17 20:20:00,OANDA:EURJPY,158.418,158.449,158.41,158.424,319.0,Interval.in_5_minute,56578800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2206,2023-10-17 20:15:00,OANDA:EURJPY,158.376,158.418,158.366,158.418,327.0,Interval.in_5_minute,56578500.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2207,2023-10-17 20:10:00,OANDA:EURJPY,158.436,158.44,158.376,158.376,343.0,Interval.in_5_minute,56578200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2208,2023-10-17 20:05:00,OANDA:EURJPY,158.442,158.466,158.402,158.436,267.0,Interval.in_5_minute,56577900.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2209,2023-10-17 20:00:00,OANDA:EURJPY,158.44,158.479,158.436,158.442,527.0,Interval.in_5_minute,56577600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2210,2023-10-17 19:55:00,OANDA:EURJPY,158.5,158.518,158.434,158.44,547.0,Interval.in_5_minute,56577300.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,short,short
2211,2023-10-17 19:50:00,OANDA:EURJPY,158.488,158.503,158.466,158.5,424.0,Interval.in_5_minute,56577000.0,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long
2212,2023-10-17 19:45:00,OANDA:EURJPY,158.47,158.488,158.435,158.488,623.0,Interval.in_5_minute,56576700.0,short,short,short,short,short,short,short,short,short,short,short,short,long,long,short,short,long,long
2213,2023-10-17 19:40:00,OANDA:EURJPY,158.49,158.504,158.456,158.47,556.0,Interval.in_5_minute,56576400.0,short,short,short,short,short,short,short,short,short,short,short,long,long,neutral,neutral,long,long,long
2214,2023-10-17 19:35:00,OANDA:EURJPY,158.516,158.52,158.48,158.49,244.0,Interval.in_5_minute,56576100.0,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long
2215,2023-10-17 19:30:00,OANDA:EURJPY,158.564,158.575,158.514,158.516,264.0,Interval.in_5_minute,56575800.0,long,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long
2216,2023-10-17 19:25:00,OANDA:EURJPY,158.572,158.593,158.554,158.564,417.0,Interval.in_5_minute,56575500.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2217,2023-10-17 19:20:00,OANDA:EURJPY,158.518,158.602,158.508,158.572,560.0,Interval.in_5_minute,56575200.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2218,2023-10-17 19:15:00,OANDA:EURJPY,158.557,158.562,158.488,158.518,763.0,Interval.in_5_minute,56574900.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2219,2023-10-17 19:10:00,OANDA:EURJPY,158.58,158.587,158.557,158.557,505.0,Interval.in_5_minute,56574600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2220,2023-10-17 19:05:00,OANDA:EURJPY,158.586,158.6,158.566,158.58,595.0,Interval.in_5_minute,56574300.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2221,2023-10-17 19:00:00,OANDA:EURJPY,158.584,158.623,158.576,158.586,655.0,Interval.in_5_minute,56574000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2222,2023-10-17 18:55:00,OANDA:EURJPY,158.538,158.586,158.534,158.584,504.0,Interval.in_5_minute,56573700.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2223,2023-10-17 18:50:00,OANDA:EURJPY,158.536,158.566,158.53,158.538,449.0,Interval.in_5_minute,56573400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2224,2023-10-17 18:45:00,OANDA:EURJPY,158.521,158.552,158.502,158.536,723.0,Interval.in_5_minute,56573100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2225,2023-10-17 18:40:00,OANDA:EURJPY,158.514,158.539,158.496,158.521,749.0,Interval.in_5_minute,56572800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2226,2023-10-17 18:35:00,OANDA:EURJPY,158.47,158.536,158.466,158.514,742.0,Interval.in_5_minute,56572500.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2227,2023-10-17 18:30:00,OANDA:EURJPY,158.426,158.478,158.426,158.47,762.0,Interval.in_5_minute,56572200.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2228,2023-10-17 18:25:00,OANDA:EURJPY,158.462,158.464,158.423,158.426,825.0,Interval.in_5_minute,56571900.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2229,2023-10-17 18:20:00,OANDA:EURJPY,158.498,158.536,158.46,158.462,1008.0,Interval.in_5_minute,56571600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2230,2023-10-17 18:15:00,OANDA:EURJPY,158.462,158.504,158.462,158.498,736.0,Interval.in_5_minute,56571300.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2231,2023-10-17 18:10:00,OANDA:EURJPY,158.411,158.465,158.383,158.462,783.0,Interval.in_5_minute,56571000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2232,2023-10-17 18:05:00,OANDA:EURJPY,158.426,158.432,158.372,158.411,610.0,Interval.in_5_minute,56570700.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2233,2023-10-17 18:00:00,OANDA:EURJPY,158.312,158.433,158.312,158.426,959.0,Interval.in_5_minute,56570400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2234,2023-10-17 17:55:00,OANDA:EURJPY,158.286,158.328,158.281,158.312,837.0,Interval.in_5_minute,56570100.0,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long
2235,2023-10-17 17:50:00,OANDA:EURJPY,158.352,158.372,158.277,158.286,916.0,Interval.in_5_minute,56569800.0,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2236,2023-10-17 17:45:00,OANDA:EURJPY,158.34,158.41,158.314,158.352,1205.0,Interval.in_5_minute,56569500.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2237,2023-10-17 17:40:00,OANDA:EURJPY,158.328,158.369,158.316,158.34,889.0,Interval.in_5_minute,56569200.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2238,2023-10-17 17:35:00,OANDA:EURJPY,158.307,158.37,158.307,158.328,895.0,Interval.in_5_minute,56568900.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2239,2023-10-17 17:30:00,OANDA:EURJPY,158.342,158.342,158.288,158.307,1041.0,Interval.in_5_minute,56568600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
