,datetime,close_price,ScalpPro,NW,UMA,Volume
3785,2023-03-06 06:00:00,1.20343,long,long,long,neutral
3786,2023-03-06 05:00:00,1.20434,long,long,long,long
3787,2023-03-06 04:00:00,1.20428,long,long,long,long
3788,2023-03-06 03:00:00,1.20355,long,long,long,long
3789,2023-03-06 02:00:00,1.20288,long,short,long,neutral
3790,2023-03-06 01:00:00,1.20281,long,short,long,short
3791,2023-03-06 00:00:00,1.20368,long,short,long,short
3792,2023-03-03 23:00:00,1.20437,long,short,long,short
3793,2023-03-03 22:00:00,1.20445,long,short,long,neutral
3794,2023-03-03 21:00:00,1.20448,long,short,long,long
3795,2023-03-03 20:00:00,1.20197,long,long,long,long
3796,2023-03-03 19:00:00,1.20102,long,long,long,long
3797,2023-03-03 18:00:00,1.1995,long,long,long,neutral
3798,2023-03-03 17:00:00,1.19762,long,long,long,short
3799,2023-03-03 16:00:00,1.19956,long,long,long,neutral
3800,2023-03-03 15:00:00,1.20084,long,long,long,neutral
3801,2023-03-03 14:00:00,1.19886,long,long,long,neutral
3802,2023-03-03 13:00:00,1.19972,long,long,long,long
3803,2023-03-03 12:00:00,1.19948,long,long,long,long
3804,2023-03-03 11:00:00,1.19856,long,long,long,long
3805,2023-03-03 10:00:00,1.19786,long,long,long,neutral
3806,2023-03-03 09:00:00,1.19724,long,long,long,neutral
3807,2023-03-03 08:00:00,1.19836,long,long,long,neutral
3808,2023-03-03 07:00:00,1.1965,long,long,short,neutral
3809,2023-03-03 06:00:00,1.19672,long,long,short,long
3810,2023-03-03 05:00:00,1.19645,long,long,short,neutral
3811,2023-03-03 04:00:00,1.19596,long,long,short,short
3812,2023-03-03 03:00:00,1.19626,long,long,short,neutral
3813,2023-03-03 02:00:00,1.19692,long,long,short,neutral
3814,2023-03-03 01:00:00,1.19499,long,long,short,neutral
3815,2023-03-03 00:00:00,1.19516,long,long,short,neutral
3816,2023-03-02 23:00:00,1.19468,long,long,short,neutral
3817,2023-03-02 22:00:00,1.19514,long,long,short,neutral
3818,2023-03-02 21:00:00,1.19429,long,long,short,neutral
3819,2023-03-02 20:00:00,1.19475,long,long,short,neutral
3820,2023-03-02 19:00:00,1.19338,long,long,short,short
3821,2023-03-02 18:00:00,1.1941,long,long,short,neutral
3822,2023-03-02 17:00:00,1.1954,long,long,short,long
3823,2023-03-02 16:00:00,1.19388,long,long,short,neutral
3824,2023-03-02 15:00:00,1.19288,long,long,short,short
3825,2023-03-02 14:00:00,1.19448,long,long,short,neutral
3826,2023-03-02 13:00:00,1.19814,long,long,short,neutral
3827,2023-03-02 12:00:00,1.19596,long,long,short,short
3828,2023-03-02 11:00:00,1.19734,long,long,short,neutral
3829,2023-03-02 10:00:00,1.19908,long,long,short,neutral
3830,2023-03-02 09:00:00,1.19784,long,long,short,short
3831,2023-03-02 08:00:00,1.19837,long,long,short,short
3832,2023-03-02 07:00:00,1.19882,long,long,short,short
3833,2023-03-02 06:00:00,1.20045,long,long,short,short
3834,2023-03-02 05:00:00,1.20046,long,long,short,neutral
3835,2023-03-02 04:00:00,1.20118,long,long,short,neutral
3836,2023-03-02 03:00:00,1.20096,long,long,short,short
3837,2023-03-02 02:00:00,1.20218,long,long,short,neutral
3838,2023-03-02 01:00:00,1.20269,long,short,short,neutral
3839,2023-03-02 00:00:00,1.20257,long,short,short,neutral
3840,2023-03-01 23:00:00,1.2027,long,short,short,long
3841,2023-03-01 22:00:00,1.20184,long,short,short,long
3842,2023-03-01 21:00:00,1.20158,long,short,short,neutral
3843,2023-03-01 20:00:00,1.20022,long,long,short,short
3844,2023-03-01 19:00:00,1.20229,long,long,long,neutral
3845,2023-03-01 18:00:00,1.20328,long,long,short,neutral
3846,2023-03-01 17:00:00,1.20066,long,long,short,neutral
3847,2023-03-01 16:00:00,1.20122,long,long,short,neutral
3848,2023-03-01 15:00:00,1.20088,long,long,short,neutral
3849,2023-03-01 14:00:00,1.20702,long,long,short,neutral
3850,2023-03-01 13:00:00,1.20501,long,long,short,short
3851,2023-03-01 12:00:00,1.20516,long,long,short,short
3852,2023-03-01 11:00:00,1.2068,long,long,short,neutral
3853,2023-03-01 10:00:00,1.20798,long,long,short,long
3854,2023-03-01 09:00:00,1.20786,long,long,short,long
3855,2023-03-01 08:00:00,1.20521,long,long,short,long
3856,2023-03-01 07:00:00,1.20408,long,long,short,long
3857,2023-03-01 06:00:00,1.20401,long,long,short,long
3858,2023-03-01 05:00:00,1.20396,long,long,short,neutral
3859,2023-03-01 04:00:00,1.20258,long,long,short,neutral
3860,2023-03-01 03:00:00,1.20342,long,long,short,neutral
3861,2023-03-01 02:00:00,1.2016,long,long,short,short
3862,2023-03-01 01:00:00,1.20331,long,long,short,neutral
3863,2023-03-01 00:00:00,1.20362,long,long,short,neutral
3864,2023-02-28 23:00:00,1.2019,long,long,short,short
3865,2023-02-28 22:00:00,1.20276,long,long,short,short
3866,2023-02-28 21:00:00,1.20542,long,short,short,short
3867,2023-02-28 20:00:00,1.20648,long,short,long,neutral
3868,2023-02-28 19:00:00,1.20998,long,short,long,neutral
3869,2023-02-28 18:00:00,1.20917,long,short,long,short
3870,2023-02-28 17:00:00,1.21074,long,short,long,neutral
3871,2023-02-28 16:00:00,1.21346,long,short,long,long
3872,2023-02-28 15:00:00,1.21226,long,short,long,long
3873,2023-02-28 14:00:00,1.2103,long,short,long,neutral
3874,2023-02-28 13:00:00,1.20958,long,short,long,neutral
3875,2023-02-28 12:00:00,1.2105,long,short,long,neutral
3876,2023-02-28 11:00:00,1.20744,long,short,long,neutral
3877,2023-02-28 10:00:00,1.20831,long,short,long,neutral
3878,2023-02-28 09:00:00,1.20365,long,short,long,neutral
3879,2023-02-28 08:00:00,1.20462,long,short,long,neutral
3880,2023-02-28 07:00:00,1.20402,long,short,long,short
3881,2023-02-28 06:00:00,1.20476,long,short,long,short
3882,2023-02-28 05:00:00,1.20518,long,short,long,neutral
3883,2023-02-28 04:00:00,1.20546,long,short,long,neutral
3884,2023-02-28 03:00:00,1.20532,long,short,long,neutral
3885,2023-02-28 02:00:00,1.2063,long,short,long,long
3886,2023-02-28 01:00:00,1.20625,long,short,long,neutral
3887,2023-02-28 00:00:00,1.20586,long,short,long,neutral
3888,2023-02-27 23:00:00,1.20618,long,short,long,long
3889,2023-02-27 22:00:00,1.2058,long,short,long,long
3890,2023-02-27 21:00:00,1.20578,long,short,long,neutral
3891,2023-02-27 20:00:00,1.20578,long,short,long,neutral
3892,2023-02-27 19:00:00,1.20596,long,short,long,long
3893,2023-02-27 18:00:00,1.20348,long,short,long,long
3894,2023-02-27 17:00:00,1.2026,long,short,long,long
3895,2023-02-27 16:00:00,1.20217,long,short,long,long
3896,2023-02-27 15:00:00,1.2019,long,short,long,neutral
3897,2023-02-27 14:00:00,1.19783,long,short,long,neutral
3898,2023-02-27 13:00:00,1.19844,long,short,long,long
3899,2023-02-27 12:00:00,1.19774,long,short,long,long
3900,2023-02-27 11:00:00,1.19738,long,short,short,neutral
3901,2023-02-27 10:00:00,1.1953,long,short,short,neutral
3902,2023-02-27 09:00:00,1.19551,long,short,short,neutral
3903,2023-02-27 08:00:00,1.19314,long,short,short,short
3904,2023-02-27 07:00:00,1.19382,long,short,short,neutral
3905,2023-02-27 06:00:00,1.1949,long,short,short,neutral
3906,2023-02-27 05:00:00,1.1945,long,short,short,short
3907,2023-02-27 04:00:00,1.19556,long,short,short,neutral
3908,2023-02-27 03:00:00,1.19631,long,short,short,long
3909,2023-02-27 02:00:00,1.19612,long,long,short,long
3910,2023-02-27 01:00:00,1.19498,long,long,short,long
3911,2023-02-27 00:00:00,1.19461,long,long,short,neutral
3912,2023-02-24 23:00:00,1.194,long,long,short,short
3913,2023-02-24 22:00:00,1.1943,long,long,short,neutral
3914,2023-02-24 21:00:00,1.1944,long,long,short,neutral
3915,2023-02-24 20:00:00,1.19435,long,long,short,neutral
3916,2023-02-24 19:00:00,1.19458,long,long,short,long
3917,2023-02-24 18:00:00,1.1945,long,long,short,neutral
3918,2023-02-24 17:00:00,1.19414,long,long,short,short
3919,2023-02-24 16:00:00,1.19498,long,long,short,short
3920,2023-02-24 15:00:00,1.19648,long,long,short,short
3921,2023-02-24 14:00:00,1.19752,long,long,short,short
3922,2023-02-24 13:00:00,1.19874,long,short,short,short
3923,2023-02-24 12:00:00,1.20093,long,short,short,neutral
3924,2023-02-24 11:00:00,1.2024,long,short,short,neutral
3925,2023-02-24 10:00:00,1.20239,long,short,short,neutral
3926,2023-02-24 09:00:00,1.2027,long,short,short,neutral
3927,2023-02-24 08:00:00,1.2018,long,short,short,neutral
3928,2023-02-24 07:00:00,1.20232,long,short,short,neutral
3929,2023-02-24 06:00:00,1.20214,long,short,short,neutral
3930,2023-02-24 05:00:00,1.20228,long,short,short,long
3931,2023-02-24 04:00:00,1.20178,long,short,short,neutral
3932,2023-02-24 03:00:00,1.20166,long,short,short,neutral
3933,2023-02-24 02:00:00,1.20258,long,short,short,neutral
3934,2023-02-24 01:00:00,1.20168,long,short,short,neutral
3935,2023-02-24 00:00:00,1.20194,long,short,short,neutral
3936,2023-02-23 23:00:00,1.2015,long,short,short,neutral
3937,2023-02-23 22:00:00,1.20232,long,long,short,long
3938,2023-02-23 21:00:00,1.20174,long,long,short,long
3939,2023-02-23 20:00:00,1.20093,long,long,short,neutral
3940,2023-02-23 19:00:00,1.1999,long,long,short,short
3941,2023-02-23 18:00:00,1.20151,long,short,short,short
3942,2023-02-23 17:00:00,1.2024,long,short,short,neutral
3943,2023-02-23 16:00:00,1.20568,long,short,short,neutral
3944,2023-02-23 15:00:00,1.20348,long,short,short,neutral
3945,2023-02-23 14:00:00,1.20494,long,short,short,neutral
3946,2023-02-23 13:00:00,1.20302,long,short,short,neutral
3947,2023-02-23 12:00:00,1.2034,long,short,short,neutral
3948,2023-02-23 11:00:00,1.20308,long,short,short,short
3949,2023-02-23 10:00:00,1.20364,long,short,short,short
3950,2023-02-23 09:00:00,1.20612,long,short,short,neutral
3951,2023-02-23 08:00:00,1.20673,long,short,short,neutral
3952,2023-02-23 07:00:00,1.20607,long,short,short,short
3953,2023-02-23 06:00:00,1.20625,long,short,short,neutral
3954,2023-02-23 05:00:00,1.20644,long,short,short,long
3955,2023-02-23 04:00:00,1.20626,long,short,short,long
3956,2023-02-23 03:00:00,1.20574,long,long,short,long
3957,2023-02-23 02:00:00,1.20534,long,long,short,long
3958,2023-02-23 01:00:00,1.2047,long,long,short,long
3959,2023-02-23 00:00:00,1.20444,long,long,short,long
3960,2023-02-22 23:00:00,1.20438,long,long,short,long
3961,2023-02-22 22:00:00,1.20434,long,long,short,neutral
3962,2023-02-22 21:00:00,1.20365,long,long,short,short
3963,2023-02-22 20:00:00,1.20685,long,short,short,neutral
3964,2023-02-22 19:00:00,1.20738,long,short,short,neutral
3965,2023-02-22 18:00:00,1.20624,long,short,short,short
3966,2023-02-22 17:00:00,1.20672,long,short,short,short
3967,2023-02-22 16:00:00,1.2104,long,short,short,short
3968,2023-02-22 15:00:00,1.21048,long,short,short,neutral
3969,2023-02-22 14:00:00,1.21072,long,short,short,long
3970,2023-02-22 13:00:00,1.20848,long,short,short,long
3971,2023-02-22 12:00:00,1.20818,long,short,short,long
3972,2023-02-22 11:00:00,1.20777,long,short,short,neutral
3973,2023-02-22 10:00:00,1.20768,long,short,short,neutral
3974,2023-02-22 09:00:00,1.21144,long,short,long,long
3975,2023-02-22 08:00:00,1.21095,long,short,long,neutral
3976,2023-02-22 07:00:00,1.21065,long,short,long,short
3977,2023-02-22 06:00:00,1.21079,long,short,long,neutral
3978,2023-02-22 05:00:00,1.212,long,short,long,neutral
3979,2023-02-22 04:00:00,1.21192,long,short,long,short
3980,2023-02-22 03:00:00,1.2121,long,short,long,neutral
3981,2023-02-22 02:00:00,1.2129,long,short,long,long
3982,2023-02-22 01:00:00,1.21092,long,short,long,neutral
3983,2023-02-22 00:00:00,1.21087,long,short,long,neutral
3984,2023-02-21 23:00:00,1.21115,long,short,long,neutral
3985,2023-02-21 22:00:00,1.21056,long,short,long,neutral
3986,2023-02-21 21:00:00,1.21084,long,short,long,neutral
3987,2023-02-21 20:00:00,1.21076,long,short,long,neutral
3988,2023-02-21 19:00:00,1.21278,long,short,long,neutral
3989,2023-02-21 18:00:00,1.21101,long,short,long,neutral
3990,2023-02-21 17:00:00,1.21421,long,short,long,neutral
3991,2023-02-21 16:00:00,1.2074,long,short,long,short
3992,2023-02-21 15:00:00,1.20996,long,short,long,short
3993,2023-02-21 14:00:00,1.2109,long,short,long,neutral
3994,2023-02-21 13:00:00,1.21096,long,short,long,neutral
3995,2023-02-21 12:00:00,1.20885,long,short,long,neutral
3996,2023-02-21 11:00:00,1.2092,long,short,long,neutral
3997,2023-02-21 10:00:00,1.20062,long,short,short,short
3998,2023-02-21 09:00:00,1.20154,long,short,short,short
3999,2023-02-21 08:00:00,1.2027,long,short,long,neutral
4000,2023-02-21 07:00:00,1.20306,long,short,long,long
4001,2023-02-21 06:00:00,1.20278,long,short,short,long
4002,2023-02-21 05:00:00,1.20238,long,short,short,neutral
4003,2023-02-21 04:00:00,1.2022,long,short,short,short
4004,2023-02-21 03:00:00,1.2026,long,short,short,short
4005,2023-02-21 02:00:00,1.20301,long,short,long,short
4006,2023-02-21 01:00:00,1.20383,long,short,long,short
4007,2023-02-21 00:00:00,1.204,long,short,long,neutral
4008,2023-02-20 23:00:00,1.20404,long,short,long,neutral
4009,2023-02-20 22:00:00,1.20366,long,short,long,neutral
4010,2023-02-20 21:00:00,1.20422,long,short,long,neutral
4011,2023-02-20 20:00:00,1.20348,long,short,short,short
4012,2023-02-20 19:00:00,1.2036,long,short,short,neutral
4013,2023-02-20 18:00:00,1.2037,long,short,short,neutral
4014,2023-02-20 17:00:00,1.20295,long,short,short,neutral
4015,2023-02-20 16:00:00,1.2039,long,short,long,long
4016,2023-02-20 15:00:00,1.2038,long,short,long,neutral
4017,2023-02-20 14:00:00,1.20264,long,short,long,neutral
4018,2023-02-20 13:00:00,1.20322,long,short,long,long
4019,2023-02-20 12:00:00,1.20292,long,short,long,neutral
4020,2023-02-20 11:00:00,1.2022,long,short,long,short
4021,2023-02-20 10:00:00,1.20277,long,short,long,neutral
4022,2023-02-20 09:00:00,1.2052,long,short,long,neutral
4023,2023-02-20 08:00:00,1.20321,long,short,long,neutral
4024,2023-02-20 07:00:00,1.20422,long,short,long,long
4025,2023-02-20 06:00:00,1.20328,long,short,long,neutral
4026,2023-02-20 05:00:00,1.20266,long,short,long,neutral
4027,2023-02-20 04:00:00,1.20309,long,short,long,long
4028,2023-02-20 03:00:00,1.2019,long,short,long,neutral
4029,2023-02-20 02:00:00,1.2019,long,short,long,short
4030,2023-02-20 01:00:00,1.20292,long,short,long,short
4031,2023-02-20 00:00:00,1.20369,long,short,long,short
4032,2023-02-17 23:00:00,1.2042,long,short,long,short
4033,2023-02-17 22:00:00,1.20438,long,short,long,neutral
4034,2023-02-17 21:00:00,1.20461,long,short,long,long
4035,2023-02-17 20:00:00,1.20292,long,short,long,long
4036,2023-02-17 19:00:00,1.20198,long,short,long,long
4037,2023-02-17 18:00:00,1.20112,long,short,long,long
4038,2023-02-17 17:00:00,1.19979,long,short,short,neutral
4039,2023-02-17 16:00:00,1.19704,long,long,short,neutral
4040,2023-02-17 15:00:00,1.19706,long,long,short,long
4041,2023-02-17 14:00:00,1.19431,long,long,short,neutral
4042,2023-02-17 13:00:00,1.19346,long,long,short,short
4043,2023-02-17 12:00:00,1.19407,long,long,short,neutral
4044,2023-02-17 11:00:00,1.19426,long,long,short,neutral
4045,2023-02-17 10:00:00,1.19314,long,long,short,short
4046,2023-02-17 09:00:00,1.1938,long,long,short,short
4047,2023-02-17 08:00:00,1.1941,long,long,short,short
4048,2023-02-17 07:00:00,1.19482,long,long,short,short
4049,2023-02-17 06:00:00,1.19514,long,long,short,neutral
