,datetime,close_price,ScalpPro,NW,UMA,Volume
1187,2023-10-11 05:10:00,0.64286,long,long,short,long
1188,2023-10-11 05:09:00,0.6427,long,long,short,neutral
1189,2023-10-11 05:08:00,0.64268,long,long,short,short
1190,2023-10-11 05:07:00,0.64274,long,long,short,neutral
1191,2023-10-11 05:06:00,0.64279,long,long,short,neutral
1192,2023-10-11 05:05:00,0.64257,long,long,short,short
1193,2023-10-11 05:04:00,0.64283,long,long,short,short
1194,2023-10-11 05:03:00,0.64296,long,long,short,neutral
1195,2023-10-11 05:02:00,0.643,long,long,short,neutral
1196,2023-10-11 05:01:00,0.6429,long,long,long,neutral
1197,2023-10-11 05:00:00,0.64328,long,short,long,long
1198,2023-10-11 04:59:00,0.64328,long,short,long,long
1199,2023-10-11 04:58:00,0.64324,long,short,long,long
1200,2023-10-11 04:57:00,0.64318,long,short,long,long
1201,2023-10-11 04:56:00,0.64317,long,short,long,neutral
1202,2023-10-11 04:55:00,0.64308,long,short,long,short
1203,2023-10-11 04:54:00,0.64316,long,short,long,short
1204,2023-10-11 04:53:00,0.64326,long,short,long,neutral
1205,2023-10-11 04:52:00,0.64331,long,short,long,long
1206,2023-10-11 04:51:00,0.6432,long,short,long,neutral
1207,2023-10-11 04:50:00,0.64314,long,short,long,neutral
1208,2023-10-11 04:49:00,0.64316,long,short,short,neutral
1209,2023-10-11 04:48:00,0.64316,long,short,long,neutral
1210,2023-10-11 04:47:00,0.64332,long,short,long,long
1211,2023-10-11 04:46:00,0.64332,long,short,long,long
1212,2023-10-11 04:45:00,0.64332,long,short,long,long
1213,2023-10-11 04:44:00,0.64323,long,short,long,long
1214,2023-10-11 04:43:00,0.64314,long,long,long,long
1215,2023-10-11 04:42:00,0.64308,long,long,short,long
1216,2023-10-11 04:41:00,0.64298,long,long,short,long
1217,2023-10-11 04:40:00,0.64298,long,long,short,neutral
1218,2023-10-11 04:39:00,0.64292,long,long,short,neutral
1219,2023-10-11 04:38:00,0.64296,long,long,short,neutral
1220,2023-10-11 04:37:00,0.64287,long,long,short,short
1221,2023-10-11 04:36:00,0.64296,long,long,short,neutral
1222,2023-10-11 04:35:00,0.643,long,long,short,long
1223,2023-10-11 04:34:00,0.64297,long,long,short,neutral
1224,2023-10-11 04:33:00,0.64292,long,long,short,neutral
1225,2023-10-11 04:32:00,0.64294,long,long,short,neutral
1226,2023-10-11 04:31:00,0.64288,long,long,short,short
1227,2023-10-11 04:30:00,0.64306,long,long,short,neutral
1228,2023-10-11 04:29:00,0.64323,long,long,short,long
1229,2023-10-11 04:28:00,0.64322,long,long,short,long
1230,2023-10-11 04:27:00,0.64302,long,long,short,long
1231,2023-10-11 04:26:00,0.64302,long,long,short,long
1232,2023-10-11 04:25:00,0.64298,long,long,short,neutral
1233,2023-10-11 04:24:00,0.64292,long,long,short,short
1234,2023-10-11 04:23:00,0.64293,long,long,short,short
1235,2023-10-11 04:22:00,0.64302,long,long,short,neutral
1236,2023-10-11 04:21:00,0.64324,long,long,short,neutral
1237,2023-10-11 04:20:00,0.64316,long,long,short,neutral
1238,2023-10-11 04:19:00,0.64331,long,long,short,neutral
1239,2023-10-11 04:18:00,0.6433,long,long,short,short
1240,2023-10-11 04:17:00,0.64344,long,long,short,short
1241,2023-10-11 04:16:00,0.64352,long,long,short,neutral
1242,2023-10-11 04:15:00,0.64376,long,long,short,neutral
1243,2023-10-11 04:14:00,0.6437,long,long,short,neutral
1244,2023-10-11 04:13:00,0.64376,long,long,short,long
1245,2023-10-11 04:12:00,0.64362,long,long,short,long
1246,2023-10-11 04:11:00,0.64354,long,long,short,neutral
1247,2023-10-11 04:10:00,0.6435,long,long,short,short
1248,2023-10-11 04:09:00,0.64351,long,long,short,short
1249,2023-10-11 04:08:00,0.64366,long,long,short,short
1250,2023-10-11 04:07:00,0.64376,long,long,short,short
1251,2023-10-11 04:06:00,0.64392,long,short,short,short
1252,2023-10-11 04:05:00,0.64409,long,short,short,short
1253,2023-10-11 04:04:00,0.64416,long,short,short,neutral
1254,2023-10-11 04:03:00,0.64424,long,short,short,neutral
1255,2023-10-11 04:02:00,0.64402,long,short,short,neutral
1256,2023-10-11 04:01:00,0.6442,long,short,short,long
1257,2023-10-11 04:00:00,0.64408,long,long,short,long
1258,2023-10-11 03:59:00,0.64386,long,long,short,neutral
1259,2023-10-11 03:58:00,0.64386,long,long,short,short
1260,2023-10-11 03:57:00,0.64393,long,long,short,short
1261,2023-10-11 03:56:00,0.64396,long,long,short,neutral
1262,2023-10-11 03:55:00,0.644,long,long,short,neutral
1263,2023-10-11 03:54:00,0.64394,long,long,short,short
1264,2023-10-11 03:53:00,0.64398,long,long,short,short
1265,2023-10-11 03:52:00,0.64408,long,long,short,neutral
1266,2023-10-11 03:51:00,0.64412,long,long,short,neutral
1267,2023-10-11 03:50:00,0.644,long,long,long,short
1268,2023-10-11 03:49:00,0.64422,long,short,long,neutral
1269,2023-10-11 03:48:00,0.64426,long,short,long,neutral
1270,2023-10-11 03:47:00,0.64426,long,short,long,neutral
1271,2023-10-11 03:46:00,0.64436,long,short,long,neutral
1272,2023-10-11 03:45:00,0.64436,long,short,long,neutral
1273,2023-10-11 03:44:00,0.6444,long,short,long,neutral
1274,2023-10-11 03:43:00,0.64439,long,short,long,short
1275,2023-10-11 03:42:00,0.64443,long,short,long,neutral
1276,2023-10-11 03:41:00,0.6445,long,short,long,neutral
1277,2023-10-11 03:40:00,0.64422,long,short,long,short
1278,2023-10-11 03:39:00,0.64426,long,short,long,neutral
1279,2023-10-11 03:38:00,0.64437,long,short,long,long
1280,2023-10-11 03:37:00,0.64426,long,short,long,long
1281,2023-10-11 03:36:00,0.64415,long,short,long,long
1282,2023-10-11 03:35:00,0.64413,long,short,long,neutral
1283,2023-10-11 03:34:00,0.64407,long,short,long,neutral
1284,2023-10-11 03:33:00,0.64424,long,short,long,long
1285,2023-10-11 03:32:00,0.64423,long,short,long,long
1286,2023-10-11 03:31:00,0.64412,long,long,long,long
1287,2023-10-11 03:30:00,0.64406,long,long,long,long
1288,2023-10-11 03:29:00,0.64402,long,long,long,neutral
1289,2023-10-11 03:28:00,0.64401,long,long,long,neutral
1290,2023-10-11 03:27:00,0.64407,long,long,long,neutral
1291,2023-10-11 03:26:00,0.64399,long,long,long,neutral
1292,2023-10-11 03:25:00,0.64406,long,long,long,long
1293,2023-10-11 03:24:00,0.644,long,long,long,long
1294,2023-10-11 03:23:00,0.64389,long,long,long,neutral
1295,2023-10-11 03:22:00,0.64383,long,long,long,neutral
1296,2023-10-11 03:21:00,0.64405,long,long,long,long
1297,2023-10-11 03:20:00,0.64396,long,short,long,long
1298,2023-10-11 03:19:00,0.64387,long,short,long,long
1299,2023-10-11 03:18:00,0.64385,long,short,long,neutral
1300,2023-10-11 03:17:00,0.64373,long,short,long,short
1301,2023-10-11 03:16:00,0.64388,long,short,long,neutral
1302,2023-10-11 03:15:00,0.644,long,short,long,neutral
1303,2023-10-11 03:14:00,0.64397,long,short,long,neutral
1304,2023-10-11 03:13:00,0.64398,long,short,long,long
1305,2023-10-11 03:12:00,0.64393,long,short,long,neutral
1306,2023-10-11 03:11:00,0.64382,long,short,long,neutral
1307,2023-10-11 03:10:00,0.64404,long,short,long,neutral
1308,2023-10-11 03:09:00,0.64393,long,short,long,neutral
1309,2023-10-11 03:08:00,0.644,long,short,long,neutral
1310,2023-10-11 03:07:00,0.6439,long,short,long,neutral
1311,2023-10-11 03:06:00,0.64398,long,short,long,long
1312,2023-10-11 03:05:00,0.64372,long,short,long,long
1313,2023-10-11 03:04:00,0.64372,long,short,long,neutral
1314,2023-10-11 03:03:00,0.64362,long,short,long,neutral
1315,2023-10-11 03:02:00,0.64388,long,short,long,long
1316,2023-10-11 03:01:00,0.64368,long,short,long,long
1317,2023-10-11 03:00:00,0.64344,long,short,long,neutral
1318,2023-10-11 02:59:00,0.6432,long,long,short,short
1319,2023-10-11 02:58:00,0.64322,long,long,short,short
1320,2023-10-11 02:57:00,0.64324,long,long,short,neutral
1321,2023-10-11 02:56:00,0.64325,long,long,short,neutral
1322,2023-10-11 02:55:00,0.64314,long,long,short,neutral
1323,2023-10-11 02:54:00,0.64322,long,long,short,neutral
1324,2023-10-11 02:53:00,0.6432,long,long,short,neutral
1325,2023-10-11 02:52:00,0.64328,long,long,short,long
1326,2023-10-11 02:51:00,0.64324,long,long,short,long
1327,2023-10-11 02:50:00,0.64323,long,long,short,neutral
1328,2023-10-11 02:49:00,0.64321,long,long,short,short
1329,2023-10-11 02:48:00,0.64324,long,long,short,neutral
1330,2023-10-11 02:47:00,0.64331,long,long,short,neutral
1331,2023-10-11 02:46:00,0.64328,long,long,short,short
1332,2023-10-11 02:45:00,0.64334,long,long,short,neutral
1333,2023-10-11 02:44:00,0.64337,long,long,short,long
1334,2023-10-11 02:43:00,0.64336,long,long,short,long
1335,2023-10-11 02:42:00,0.6433,long,long,short,neutral
1336,2023-10-11 02:41:00,0.64327,long,long,short,short
1337,2023-10-11 02:40:00,0.64328,long,long,short,short
1338,2023-10-11 02:39:00,0.64333,long,long,long,neutral
1339,2023-10-11 02:38:00,0.64336,long,long,long,neutral
1340,2023-10-11 02:37:00,0.64336,long,long,long,short
1341,2023-10-11 02:36:00,0.64337,long,long,long,neutral
