,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2525,2023-10-19 10:54:00,OANDA:EURUSD,1.0539,1.05398,1.05366,1.05373,253.0,Interval.in_3_minute,56717640.0
2526,2023-10-19 10:57:00,OANDA:EURUSD,1.05373,1.05394,1.05372,1.05377,215.0,Interval.in_3_minute,56717820.0
2527,2023-10-19 11:00:00,OANDA:EURUSD,1.05377,1.05386,1.05347,1.05347,293.0,Interval.in_3_minute,56718000.0
2528,2023-10-19 11:03:00,OANDA:EURUSD,1.05347,1.05383,1.05329,1.05356,292.0,Interval.in_3_minute,56718180.0
2529,2023-10-19 11:06:00,OANDA:EURUSD,1.05356,1.05436,1.05356,1.05416,235.0,Interval.in_3_minute,56718360.0
2530,2023-10-19 11:09:00,OANDA:EURUSD,1.05416,1.05417,1.0539,1.05391,284.0,Interval.in_3_minute,56718540.0
2531,2023-10-19 11:12:00,OANDA:EURUSD,1.05391,1.05402,1.05347,1.05355,244.0,Interval.in_3_minute,56718720.0
2532,2023-10-19 11:15:00,OANDA:EURUSD,1.05355,1.05374,1.05342,1.05371,262.0,Interval.in_3_minute,56718900.0
2533,2023-10-19 11:18:00,OANDA:EURUSD,1.05371,1.0541,1.0536,1.0539,253.0,Interval.in_3_minute,56719080.0
2534,2023-10-19 11:21:00,OANDA:EURUSD,1.0539,1.05417,1.0539,1.05406,254.0,Interval.in_3_minute,56719260.0
2535,2023-10-19 11:24:00,OANDA:EURUSD,1.05406,1.05408,1.05371,1.05394,248.0,Interval.in_3_minute,56719440.0
2536,2023-10-19 11:27:00,OANDA:EURUSD,1.05394,1.05408,1.05372,1.05408,189.0,Interval.in_3_minute,56719620.0
2537,2023-10-19 11:30:00,OANDA:EURUSD,1.05408,1.05413,1.05377,1.05402,250.0,Interval.in_3_minute,56719800.0
2538,2023-10-19 11:33:00,OANDA:EURUSD,1.05402,1.05402,1.05364,1.05383,209.0,Interval.in_3_minute,56719980.0
2539,2023-10-19 11:36:00,OANDA:EURUSD,1.05383,1.0539,1.05351,1.0536,224.0,Interval.in_3_minute,56720160.0
2540,2023-10-19 11:39:00,OANDA:EURUSD,1.0536,1.0536,1.05295,1.05324,377.0,Interval.in_3_minute,56720340.0
2541,2023-10-19 11:42:00,OANDA:EURUSD,1.05324,1.05362,1.05314,1.05357,308.0,Interval.in_3_minute,56720520.0
2542,2023-10-19 11:45:00,OANDA:EURUSD,1.05357,1.05383,1.05346,1.05374,243.0,Interval.in_3_minute,56720700.0
2543,2023-10-19 11:48:00,OANDA:EURUSD,1.05374,1.05376,1.0535,1.05362,260.0,Interval.in_3_minute,56720880.0
2544,2023-10-19 11:51:00,OANDA:EURUSD,1.05362,1.05384,1.05362,1.05383,147.0,Interval.in_3_minute,56721060.0
2545,2023-10-19 11:54:00,OANDA:EURUSD,1.05383,1.05384,1.05355,1.05356,172.0,Interval.in_3_minute,56721240.0
2546,2023-10-19 11:57:00,OANDA:EURUSD,1.05356,1.05366,1.05347,1.05359,145.0,Interval.in_3_minute,56721420.0
2547,2023-10-19 12:00:00,OANDA:EURUSD,1.05359,1.05381,1.05352,1.0538,213.0,Interval.in_3_minute,56721600.0
2548,2023-10-19 12:03:00,OANDA:EURUSD,1.0538,1.05402,1.05374,1.054,183.0,Interval.in_3_minute,56721780.0
2549,2023-10-19 12:06:00,OANDA:EURUSD,1.054,1.05401,1.05378,1.05393,169.0,Interval.in_3_minute,56721960.0
2550,2023-10-19 12:09:00,OANDA:EURUSD,1.05393,1.05424,1.05391,1.05412,185.0,Interval.in_3_minute,56722140.0
