,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2495,2495,2023-10-24 21:07:00,OANDA:AUDCAD,0.87288,0.87294,0.87288,0.87292,25.0,Interval.in_1_minute,57186420.0
2496,2496,2023-10-24 21:08:00,OANDA:AUDCAD,0.87292,0.873,0.87292,0.87294,30.0,Interval.in_1_minute,57186480.0
2497,2497,2023-10-24 21:09:00,OANDA:AUDCAD,0.87294,0.87296,0.87282,0.87288,42.0,Interval.in_1_minute,57186540.0
2498,2498,2023-10-24 21:10:00,OANDA:AUDCAD,0.87288,0.8729,0.87282,0.87282,72.0,Interval.in_1_minute,57186600.0
2499,2499,2023-10-24 21:11:00,OANDA:AUDCAD,0.87282,0.87284,0.87272,0.87276,82.0,Interval.in_1_minute,57186660.0
2500,2500,2023-10-24 21:12:00,OANDA:AUDCAD,0.87276,0.87286,0.87276,0.87284,38.0,Interval.in_1_minute,57186720.0
2501,2501,2023-10-24 21:13:00,OANDA:AUDCAD,0.87284,0.87286,0.8727,0.8727,94.0,Interval.in_1_minute,57186780.0
2502,2502,2023-10-24 21:14:00,OANDA:AUDCAD,0.8727,0.8728,0.87268,0.8728,39.0,Interval.in_1_minute,57186840.0
2503,2503,2023-10-24 21:15:00,OANDA:AUDCAD,0.8728,0.87281,0.87275,0.87275,38.0,Interval.in_1_minute,57186900.0
2504,2504,2023-10-24 21:16:00,OANDA:AUDCAD,0.87275,0.87281,0.87273,0.87281,38.0,Interval.in_1_minute,57186960.0
2505,2505,2023-10-24 21:17:00,OANDA:AUDCAD,0.87281,0.87283,0.87274,0.87278,70.0,Interval.in_1_minute,57187020.0
2506,2506,2023-10-24 21:18:00,OANDA:AUDCAD,0.87278,0.87288,0.87278,0.87284,52.0,Interval.in_1_minute,57187080.0
2507,2507,2023-10-24 21:19:00,OANDA:AUDCAD,0.87284,0.8729,0.87284,0.87286,54.0,Interval.in_1_minute,57187140.0
2508,2508,2023-10-24 21:20:00,OANDA:AUDCAD,0.87286,0.87288,0.87278,0.8728,18.0,Interval.in_1_minute,57187200.0
2509,2509,2023-10-24 21:21:00,OANDA:AUDCAD,0.8728,0.8728,0.87272,0.87273,31.0,Interval.in_1_minute,57187260.0
2510,2510,2023-10-24 21:22:00,OANDA:AUDCAD,0.87273,0.87274,0.87261,0.8727,42.0,Interval.in_1_minute,57187320.0
2511,2511,2023-10-24 21:23:00,OANDA:AUDCAD,0.8727,0.8727,0.87259,0.87262,65.0,Interval.in_1_minute,57187380.0
2512,2512,2023-10-24 21:24:00,OANDA:AUDCAD,0.87262,0.87267,0.8726,0.87265,56.0,Interval.in_1_minute,57187440.0
2513,2513,2023-10-24 21:25:00,OANDA:AUDCAD,0.87265,0.87277,0.87264,0.87275,50.0,Interval.in_1_minute,57187500.0
2514,2514,2023-10-24 21:26:00,OANDA:AUDCAD,0.87275,0.8728,0.87272,0.8728,35.0,Interval.in_1_minute,57187560.0
2515,2515,2023-10-24 21:27:00,OANDA:AUDCAD,0.8728,0.87286,0.8728,0.87284,55.0,Interval.in_1_minute,57187620.0
2516,2516,2023-10-24 21:28:00,OANDA:AUDCAD,0.87284,0.87288,0.87282,0.87282,79.0,Interval.in_1_minute,57187680.0
2517,2517,2023-10-24 21:29:00,OANDA:AUDCAD,0.87282,0.87286,0.8728,0.87285,48.0,Interval.in_1_minute,57187740.0
2518,2518,2023-10-24 21:30:00,OANDA:AUDCAD,0.87285,0.87288,0.8728,0.87283,65.0,Interval.in_1_minute,57187800.0
2519,2519,2023-10-24 21:31:00,OANDA:AUDCAD,0.87283,0.87286,0.87282,0.87282,25.0,Interval.in_1_minute,57187860.0
2520,2520,2023-10-24 21:32:00,OANDA:AUDCAD,0.87282,0.87292,0.8728,0.8729,36.0,Interval.in_1_minute,57187920.0
2521,2521,2023-10-24 21:33:00,OANDA:AUDCAD,0.8729,0.87297,0.8729,0.87292,12.0,Interval.in_1_minute,57187980.0
