,currency,interval,open_time,close_time,signal_type,open_price,close_price,is_profit
82,EURCAD,Interval.in_3_minute,2023-11-28 14:48:33,2023-11-28 15:00:41,long,1.48846,1.48874,True
83,EURUSD,Interval.in_5_minute,2023-11-28 14:40:33,2023-11-28 15:05:40,long,1.09565,1.0948,False
84,GBPAUD,Interval.in_1_minute,2023-11-28 15:05:37,2023-11-28 15:09:44,long,1.90803,1.90826,True
85,GBPUSD,Interval.in_1_minute,2023-11-28 15:09:34,2023-11-28 15:13:40,short,1.26123,1.2611,True
86,EURUSD,Interval.in_3_minute,2023-11-28 15:21:31,2023-11-28 15:33:39,short,1.09534,1.09612,False
87,AUDCHF,Interval.in_1_minute,2023-11-28 15:35:33,2023-11-28 15:39:40,short,0.58225,0.58211,True
88,EURCAD,Interval.in_1_minute,2023-11-28 15:44:22,2023-11-28 15:48:28,long,1.4905,1.49098,True
89,EURJPY,Interval.in_1_minute,2023-11-28 15:45:44,2023-11-28 15:49:51,short,162.688,162.667,True
90,EURJPY,Interval.in_5_minute,2023-11-28 15:31:00,2023-11-28 15:56:08,short,162.694,162.724,False
91,EURJPY,Interval.in_5_minute,2023-11-28 15:40:39,2023-11-28 16:05:47,short,162.646,162.808,False
92,EURCAD,Interval.in_1_minute,2023-11-28 16:16:22,2023-11-28 16:20:29,long,1.49148,1.49148,True
93,EURUSD,Interval.in_1_minute,2023-11-28 16:33:29,2023-11-28 16:37:37,long,1.0975,1.09741,False
94,GBPUSD,Interval.in_1_minute,2023-11-28 16:35:32,2023-11-28 16:39:38,long,1.26552,1.26536,False
95,AUDCAD,Interval.in_1_minute,2023-11-28 16:42:30,2023-11-28 16:46:37,long,0.90108,0.90072,False
96,AUDCAD,Interval.in_1_minute,2023-11-28 16:44:20,2023-11-28 16:48:26,long,0.9009,0.90068,False
97,EURUSD,Interval.in_1_minute,2023-11-28 16:45:41,2023-11-28 16:49:47,long,1.09773,1.09838,True
98,EURUSD,Interval.in_3_minute,2023-11-28 16:54:31,2023-11-28 17:06:39,long,1.09834,1.09848,True
99,GBPAUD,Interval.in_1_minute,2023-11-28 17:03:35,2023-11-28 17:07:43,short,1.91006,1.91008,False
100,EURJPY,Interval.in_1_minute,2023-11-28 17:12:33,2023-11-28 17:16:40,short,162.75,162.762,False
101,EURJPY,Interval.in_1_minute,2023-11-28 17:14:23,2023-11-28 17:18:30,short,162.768,162.758,True
102,EURJPY,Interval.in_1_minute,2023-11-28 17:17:21,2023-11-28 17:21:28,short,162.74,162.698,True
103,EURUSD,Interval.in_1_minute,2023-11-28 17:24:31,2023-11-28 17:28:40,short,1.0973,1.09716,True
104,EURCAD,Interval.in_1_minute,2023-11-28 17:32:26,2023-11-28 17:36:33,long,1.49189,1.49182,False
105,AUDUSD,Interval.in_1_minute,2023-11-28 17:33:31,2023-11-28 17:37:37,long,0.66306,0.66295,False
106,GBPAUD,Interval.in_1_minute,2023-11-28 17:40:35,2023-11-28 17:44:42,short,1.90923,1.90974,False
107,AUDCAD,Interval.in_1_minute,2023-11-28 17:55:29,2023-11-28 17:59:36,long,0.90222,0.9023,True
108,GBPAUD,Interval.in_1_minute,2023-11-28 18:09:36,2023-11-28 18:13:43,short,1.90884,1.90817,True
109,EURJPY,Interval.in_1_minute,2023-11-28 18:23:23,2023-11-28 18:27:31,short,162.282,162.176,True
110,GBPUSD,Interval.in_3_minute,2023-11-28 18:18:35,2023-11-28 18:30:42,long,1.2686,1.26864,True
111,EURJPY,Interval.in_3_minute,2023-11-28 18:24:31,2023-11-28 18:36:37,short,162.268,162.152,True
112,GBPUSD,Interval.in_1_minute,2023-11-28 18:34:24,2023-11-28 18:38:32,short,1.26866,1.26884,False
113,GBPUSD,Interval.in_3_minute,2023-11-28 18:27:32,2023-11-28 18:39:38,long,1.26916,1.2693,True
114,GBPUSD,Interval.in_5_minute,2023-11-28 18:16:18,2023-11-28 18:41:25,long,1.26888,1.26934,True
115,GBPAUD,Interval.in_1_minute,2023-11-28 18:42:36,2023-11-28 18:46:44,long,1.90699,1.90678,False
116,AUDCAD,Interval.in_1_minute,2023-11-28 18:50:31,2023-11-28 18:54:39,long,0.90376,0.9036,False
117,GBPAUD,Interval.in_3_minute,2023-11-28 19:21:36,2023-11-28 19:33:43,short,1.90726,1.9079,False
118,EURCAD,Interval.in_1_minute,2023-11-28 19:58:27,2023-11-28 20:02:35,short,1.49176,1.49168,True
119,GBPAUD,Interval.in_3_minute,2023-11-28 19:51:37,2023-11-28 20:03:44,short,1.90886,1.9097,False
120,GBPAUD,Interval.in_3_minute,2023-11-28 19:54:34,2023-11-28 20:06:40,short,1.90869,1.90964,False
121,GBPAUD,Interval.in_5_minute,2023-11-28 19:45:56,2023-11-28 20:11:04,short,1.90876,1.91007,False
122,GBPAUD,Interval.in_5_minute,2023-11-28 19:50:33,2023-11-28 20:15:40,short,1.90853,1.91034,False
123,GBPAUD,Interval.in_1_minute,2023-11-28 20:19:22,2023-11-28 20:23:29,long,1.91088,1.91068,False
124,AUDCAD,Interval.in_1_minute,2023-11-28 20:35:29,2023-11-28 20:39:37,short,0.90164,0.90135,True
125,AUDUSD,Interval.in_1_minute,2023-11-28 20:40:34,2023-11-28 20:44:41,long,0.66373,0.66374,True
126,AUDCAD,Interval.in_1_minute,2023-11-28 20:48:31,2023-11-28 20:52:38,short,0.90144,0.90154,False
127,EURJPY,Interval.in_1_minute,2023-11-28 20:51:31,2023-11-28 20:55:37,long,162.062,162.054,False
128,EURJPY,Interval.in_1_minute,2023-11-28 21:00:51,2023-11-28 21:05:00,long,162.064,162.068,True
129,AUDJPY,Interval.in_1_minute,2023-11-28 22:39:44,2023-11-28 22:43:52,short,97.976,97.984,False
130,EURJPY,Interval.in_1_minute,2023-11-29 10:04:23,2023-11-29 10:08:30,short,161.824,162.019,False
131,AUDCAD,Interval.in_1_minute,2023-11-29 10:05:28,2023-11-29 10:09:34,short,0.90002,0.89996,True
132,AUDCHF,Interval.in_1_minute,2023-11-29 10:17:25,2023-11-29 10:21:32,short,0.58156,0.58157,False
133,AUDCAD,Interval.in_3_minute,2023-11-29 10:09:30,2023-11-29 10:21:38,short,0.89996,0.89986,True
134,EURUSD,Interval.in_1_minute,2023-11-29 10:24:32,2023-11-29 10:28:39,short,1.09912,1.09877,True
135,EURUSD,Interval.in_3_minute,2023-11-29 10:18:30,2023-11-29 10:30:37,short,1.09982,1.09876,True
136,EURUSD,Interval.in_3_minute,2023-11-29 10:21:30,2023-11-29 10:33:37,short,1.09926,1.09908,True
137,EURUSD,Interval.in_5_minute,2023-11-29 10:20:27,2023-11-29 10:45:34,short,1.09924,1.09943,False
138,AUDUSD,Interval.in_3_minute,2023-11-30 10:18:35,2023-11-30 10:30:43,short,0.66332,0.66279,True
139,EURCAD,Interval.in_3_minute,2023-11-30 10:30:55,2023-11-30 10:43:02,short,1.48776,1.48558,True
140,EURCAD,Interval.in_3_minute,2023-11-30 10:33:34,2023-11-30 10:45:40,short,1.48714,1.48585,True
141,EURCAD,Interval.in_1_minute,2023-11-30 10:50:30,2023-11-30 10:54:38,short,1.48618,1.48584,True
142,EURJPY,Interval.in_3_minute,2023-11-30 10:57:29,2023-11-30 11:09:35,short,160.754,160.73,True
143,EURJPY,Interval.in_5_minute,2023-11-30 10:55:32,2023-11-30 11:20:40,short,160.644,160.752,False
144,EURCAD,Interval.in_1_minute,2023-11-30 11:26:21,2023-11-30 11:30:29,short,1.48756,1.48731,True
145,EURJPY,Interval.in_3_minute,2023-11-30 11:24:32,2023-11-30 11:36:38,short,160.844,161.038,False
146,AUDCAD,Interval.in_1_minute,2023-11-30 11:33:33,2023-11-30 11:37:40,short,0.90072,0.90056,True
147,EURJPY,Interval.in_5_minute,2023-11-30 11:20:35,2023-11-30 11:45:42,short,160.752,161.09,False
148,GBPUSD,Interval.in_1_minute,2023-11-30 11:50:34,2023-11-30 11:54:40,short,1.26584,1.26522,True
149,EURJPY,Interval.in_3_minute,2023-11-30 11:48:31,2023-11-30 12:00:39,long,161.052,161.059,True
150,AUDUSD,Interval.in_1_minute,2023-11-30 12:04:26,2023-11-30 12:08:33,short,0.66119,0.66085,True
151,EURCAD,Interval.in_1_minute,2023-11-30 12:30:48,2023-11-30 12:34:56,short,1.48567,1.48524,True
152,AUDCAD,Interval.in_1_minute,2023-11-30 12:32:23,2023-11-30 12:36:30,short,0.89884,0.89846,True
153,EURUSD,Interval.in_3_minute,2023-11-30 12:27:31,2023-11-30 12:39:38,short,1.09101,1.09213,False
154,EURUSD,Interval.in_5_minute,2023-11-30 12:15:49,2023-11-30 12:40:57,short,1.09197,1.09214,False
155,EURUSD,Interval.in_5_minute,2023-11-30 12:20:29,2023-11-30 12:45:35,short,1.09116,1.09208,False
156,EURUSD,Interval.in_5_minute,2023-11-30 12:25:32,2023-11-30 12:50:39,short,1.09128,1.09216,False
157,AUDCAD,Interval.in_3_minute,2023-11-30 12:54:31,2023-11-30 13:06:39,short,0.89889,0.89845,True
158,AUDCAD,Interval.in_3_minute,2023-11-30 13:06:31,2023-11-30 13:18:38,short,0.89845,0.89828,True
159,AUDUSD,Interval.in_1_minute,2023-11-30 13:15:44,2023-11-30 13:19:51,short,0.66001,0.65976,True
160,AUDCAD,Interval.in_1_minute,2023-11-30 13:18:35,2023-11-30 13:22:41,short,0.89828,0.89838,False
161,GBPUSD,Interval.in_1_minute,2023-11-30 13:31:23,2023-11-30 13:35:30,short,1.26329,1.26351,False
162,GBPAUD,Interval.in_5_minute,2023-11-30 13:20:32,2023-11-30 13:45:39,long,1.9154,1.91459,False
